"_id","_index","_score","_type","device_id","device_id.keyword","mqtt_gateway","mqtt_gateway.keyword","sensor_id","sensor_id.keyword","sensor_name","sensor_name.keyword",timestamp,"value.countPeople"
"34_82_231+0+9611","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 15:03:48.000",41
"34_82_231+0+9610","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 15:01:55.000",41
"34_82_231+0+9609","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 15:01:25.000",42
"34_82_231+0+9608","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 15:01:21.000",41
"34_82_231+0+9607","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 14:58:47.000",40
"34_82_231+0+9606","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 14:53:47.000",40
"34_82_231+0+9605","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 14:48:47.000",40
"34_82_231+0+9604","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 14:43:47.000",40
"34_82_231+0+9603","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 14:38:47.000",40
"34_82_231+0+9602","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 14:33:46.000",40
"34_82_231+0+9601","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 14:28:46.000",40
"34_82_231+0+9600","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 14:23:46.000",40
"34_82_231+0+9598","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 14:18:46.000",40
"34_82_231+0+9599","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 14:18:46.000",40
"34_82_231+0+9597","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 13:48:51.000",41
"34_82_231+0+9596","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 13:43:51.000",41
"34_82_231+0+9595","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 13:33:22.000",41
"34_82_231+0+9593","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 13:21:39.000",41
"34_82_231+0+9594","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 13:21:39.000",41
"34_82_231+0+9592","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 13:15:01.000",41
"34_82_231+0+9591","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 13:10:01.000",41
"34_82_231+0+9590","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 13:04:59.000",41
"34_82_231+0+9588","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:57:21.000",41
"34_82_231+0+9589","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:57:21.000",41
"34_82_231+0+9587","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:52:15.000",41
"34_82_231+0+9586","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:47:14.000",41
"34_82_231+0+9585","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:42:14.000",41
"34_82_231+0+9584","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:37:14.000",41
"34_82_231+0+9583","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:32:14.000",41
"34_82_231+0+9582","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:27:14.000",41
"34_82_231+0+9581","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:22:14.000",41
"34_82_231+0+9580","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:17:14.000",41
"34_82_231+0+9579","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:12:13.000",41
"34_82_231+0+9576","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:11:54.000",39
"34_82_231+0+9577","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:11:54.000",40
"34_82_231+0+9578","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:11:54.000",41
"34_82_231+0+9575","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:11:53.000",38
