"_id","_index","_score","_type","device_id","device_id.keyword","mqtt_gateway","mqtt_gateway.keyword","sensor_id","sensor_id.keyword","sensor_name","sensor_name.keyword",timestamp,"value.count"
"30_76_239+0+9860","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 18:00:00.000",5
"30_76_239+0+9859","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 17:50:00.000",0
"30_76_239+0+9858","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 17:45:00.000",0
"30_76_239+0+9857","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 17:40:00.000",0
"30_76_239+0+9856","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 17:35:00.000",0
"30_76_239+0+9855","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 17:30:00.000",0
"30_76_239+0+9854","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 17:25:00.000",0
"30_76_239+0+9853","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 17:20:00.000",0
"30_76_239+0+9852","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 17:15:00.000",0
"30_76_239+0+9851","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 17:10:00.000",0
"30_76_239+0+9850","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 17:05:00.000",0
"30_76_239+0+9849","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 17:00:00.000",0
"30_76_239+0+9848","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 16:55:00.000",0
"30_76_239+0+9847","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 16:50:00.000",0
"30_76_239+0+9846","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 16:45:00.000",0
"30_76_239+0+9845","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 16:40:00.000",0
"30_76_239+0+9844","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 16:35:00.000",0
"30_76_239+0+9843","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 16:30:00.000",38
"30_76_239+0+9842","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 16:25:00.000",38
"30_76_239+0+9841","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 16:20:00.000",38
"30_76_239+0+9840","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 16:15:00.000",38
"30_76_239+0+9839","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 16:10:00.000",38
"30_76_239+0+9838","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 16:05:00.000",38
"30_76_239+0+9837","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 16:00:00.000",38
"30_76_239+0+9836","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 15:55:00.000",38
"30_76_239+0+9835","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 15:50:00.000",38
"30_76_239+0+9834","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 15:45:00.000",38
"30_76_239+0+9833","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 15:40:00.000",38
"30_76_239+0+9832","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 15:35:00.000",38
"30_76_239+0+9831","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 15:30:00.000",40
"30_76_239+0+9830","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 15:25:00.000",42
"30_76_239+0+9829","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 15:20:00.000",42
"30_76_239+0+9828","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 15:15:00.000",42
"30_76_239+0+9827","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 15:10:00.000",42
"30_76_239+0+9826","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 15:05:00.000",42
"30_76_239+0+9825","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 15:00:00.000",41
"30_76_239+0+9824","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 14:55:00.000",41
"30_76_239+0+9823","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 14:50:00.000",41
"30_76_239+0+9822","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 14:45:00.000",41
"30_76_239+0+9821","30_76_239","-","_doc",76,76,"iot_platform","iot_platform",239,239,"CountSensor-Group4","CountSensor-Group4","Jun 30, 2023 @ 14:40:00.000",41
