"_id","_index","_score","_type","device_id","device_id.keyword","mqtt_gateway","mqtt_gateway.keyword","sensor_id","sensor_id.keyword","sensor_name","sensor_name.keyword",timestamp,"value.count"
"39_91_236+0+10863","39_91_236","-","_doc",91,91,"iot_platform","iot_platform",236,236,"g_15_counter","g_15_counter","Jun 30, 2023 @ 18:00:00.050",5
"39_91_236+0+10862","39_91_236","-","_doc",91,91,"iot_platform","iot_platform",236,236,"g_15_counter","g_15_counter","Jun 30, 2023 @ 17:55:11.220",0
"39_91_236+0+10861","39_91_236","-","_doc",91,91,"iot_platform","iot_platform",236,236,"g_15_counter","g_15_counter","Jun 30, 2023 @ 17:50:00.034",38
"39_91_236+0+10860","39_91_236","-","_doc",91,91,"iot_platform","iot_platform",236,236,"g_15_counter","g_15_counter","Jun 30, 2023 @ 17:45:00.054",38
"39_91_236+0+10859","39_91_236","-","_doc",91,91,"iot_platform","iot_platform",236,236,"g_15_counter","g_15_counter","Jun 30, 2023 @ 17:40:00.044",38
"39_91_236+0+10858","39_91_236","-","_doc",91,91,"iot_platform","iot_platform",236,236,"g_15_counter","g_15_counter","Jun 30, 2023 @ 17:35:00.024",38
"39_91_236+0+10857","39_91_236","-","_doc",91,91,"iot_platform","iot_platform",236,236,"g_15_counter","g_15_counter","Jun 30, 2023 @ 17:30:00.014",38
"39_91_236+0+10856","39_91_236","-","_doc",91,91,"iot_platform","iot_platform",236,236,"g_15_counter","g_15_counter","Jun 30, 2023 @ 17:25:00.004",38
"39_91_236+0+10855","39_91_236","-","_doc",91,91,"iot_platform","iot_platform",236,236,"g_15_counter","g_15_counter","Jun 30, 2023 @ 17:20:00.091",38
"39_91_236+0+10854","39_91_236","-","_doc",91,91,"iot_platform","iot_platform",236,236,"g_15_counter","g_15_counter","Jun 30, 2023 @ 17:15:00.081",38
"39_91_236+0+10853","39_91_236","-","_doc",91,91,"iot_platform","iot_platform",236,236,"g_15_counter","g_15_counter","Jun 30, 2023 @ 17:10:00.071",38
"39_91_236+0+10852","39_91_236","-","_doc",91,91,"iot_platform","iot_platform",236,236,"g_15_counter","g_15_counter","Jun 30, 2023 @ 17:05:00.061",38
"39_91_236+0+10851","39_91_236","-","_doc",91,91,"iot_platform","iot_platform",236,236,"g_15_counter","g_15_counter","Jun 30, 2023 @ 17:00:00.031",38
"39_91_236+0+10850","39_91_236","-","_doc",91,91,"iot_platform","iot_platform",236,236,"g_15_counter","g_15_counter","Jun 30, 2023 @ 16:55:00.011",38
"39_91_236+0+10849","39_91_236","-","_doc",91,91,"iot_platform","iot_platform",236,236,"g_15_counter","g_15_counter","Jun 30, 2023 @ 16:50:00.011",38
"39_91_236+0+10848","39_91_236","-","_doc",91,91,"iot_platform","iot_platform",236,236,"g_15_counter","g_15_counter","Jun 30, 2023 @ 16:45:00.001",38
"39_91_236+0+10847","39_91_236","-","_doc",91,91,"iot_platform","iot_platform",236,236,"g_15_counter","g_15_counter","Jun 30, 2023 @ 16:40:00.001",38
"39_91_236+0+10846","39_91_236","-","_doc",91,91,"iot_platform","iot_platform",236,236,"g_15_counter","g_15_counter","Jun 30, 2023 @ 16:35:00.071",38
"39_91_236+0+10845","39_91_236","-","_doc",91,91,"iot_platform","iot_platform",236,236,"g_15_counter","g_15_counter","Jun 30, 2023 @ 16:30:00.061",38
"39_91_236+0+10844","39_91_236","-","_doc",91,91,"iot_platform","iot_platform",236,236,"g_15_counter","g_15_counter","Jun 30, 2023 @ 16:25:00.051",38
"39_91_236+0+10843","39_91_236","-","_doc",91,91,"iot_platform","iot_platform",236,236,"g_15_counter","g_15_counter","Jun 30, 2023 @ 16:20:00.036",38
"39_91_236+0+10842","39_91_236","-","_doc",91,91,"iot_platform","iot_platform",236,236,"g_15_counter","g_15_counter","Jun 30, 2023 @ 16:15:00.015",38
"39_91_236+0+10841","39_91_236","-","_doc",91,91,"iot_platform","iot_platform",236,236,"g_15_counter","g_15_counter","Jun 30, 2023 @ 16:10:00.095",38
"39_91_236+0+10840","39_91_236","-","_doc",91,91,"iot_platform","iot_platform",236,236,"g_15_counter","g_15_counter","Jun 30, 2023 @ 16:05:00.086",38
"39_91_236+0+10839","39_91_236","-","_doc",91,91,"iot_platform","iot_platform",236,236,"g_15_counter","g_15_counter","Jun 30, 2023 @ 16:00:00.075",38
"39_91_236+0+10838","39_91_236","-","_doc",91,91,"iot_platform","iot_platform",236,236,"g_15_counter","g_15_counter","Jun 30, 2023 @ 15:55:00.055",38
"39_91_236+0+10837","39_91_236","-","_doc",91,91,"iot_platform","iot_platform",236,236,"g_15_counter","g_15_counter","Jun 30, 2023 @ 15:50:00.045",38
"39_91_236+0+10836","39_91_236","-","_doc",91,91,"iot_platform","iot_platform",236,236,"g_15_counter","g_15_counter","Jun 30, 2023 @ 15:45:00.025",38
