"_id","_index","_score","_type","device_id","device_id.keyword","mqtt_gateway","mqtt_gateway.keyword","sensor_id","sensor_id.keyword","sensor_name","sensor_name.keyword",timestamp,"value.peopleCount"
"35_83_238+0+9632","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 14:44:21.623",0
"35_83_238+0+9631","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 14:39:21.623",0
"35_83_238+0+9630","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 14:34:21.624",0
"35_83_238+0+9629","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 12:50:13.118",0
"35_83_238+0+9628","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 12:45:13.118",0
"35_83_238+0+9627","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 12:40:13.118",0
"35_83_238+0+9626","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 12:35:13.118",0
"35_83_238+0+9625","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 12:30:13.113",0
"35_83_238+0+9624","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 12:29:13.773",0
"35_83_238+0+9623","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 12:24:13.771",0
"35_83_238+0+9622","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 12:20:50.484",0
"35_83_238+0+9621","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 12:15:50.478",0
"35_83_238+0+9620","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 12:15:33.877",35
"35_83_238+0+9619","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 12:10:33.866",0
"35_83_238+0+9618","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 12:09:47.967",0
"35_83_238+0+9617","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 12:03:35.946",0
"35_83_238+0+9616","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 12:02:28.423",0
"35_83_238+0+9615","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 12:01:56.292",0
"35_83_238+0+9614","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 11:56:56.282",0
"35_83_238+0+9613","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 11:56:34.164",0
"35_83_238+0+9612","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 11:51:34.154",0
"35_83_238+0+9611","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 11:50:51.641",0
"35_83_238+0+9610","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 11:44:39.961",0
"35_83_238+0+9609","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 11:40:25.476",0
"35_83_238+0+9608","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 11:35:25.466",0
"35_83_238+0+9607","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 11:30:21.011",0
"35_83_238+0+9606","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 11:26:48.084",0
"35_83_238+0+9605","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 11:25:12.186",0
"35_83_238+0+9604","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 11:22:36.901",0
"35_83_238+0+9603","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 11:17:36.121",0
"35_83_238+0+9602","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 11:12:36.121",0
"35_83_238+0+9601","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 11:07:36.116",0
"35_83_238+0+9600","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 11:01:47.236",0
"35_83_238+0+9599","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 10:56:47.233",0
