"_id","_index","_score","_type","device_id","device_id.keyword","mqtt_gateway","mqtt_gateway.keyword","sensor_id","sensor_id.keyword","sensor_name","sensor_name.keyword",timestamp,"value.count"
"31_78_243+0+6747","31_78_243","-","_doc",78,78,"iot_platform","iot_platform",243,243,s2,s2,"Jun 30, 2023 @ 18:00:15.430",5
"31_78_243+0+6746","31_78_243","-","_doc",78,78,"iot_platform","iot_platform",243,243,s2,s2,"Jun 30, 2023 @ 17:55:15.389",0
"31_78_243+0+6745","31_78_243","-","_doc",78,78,"iot_platform","iot_platform",243,243,s2,s2,"Jun 30, 2023 @ 17:54:07.483",0
"31_78_243+0+6744","31_78_243","-","_doc",78,78,"iot_platform","iot_platform",243,243,s2,s2,"Jun 30, 2023 @ 17:49:00.826",0
"31_78_243+0+6743","31_78_243","-","_doc",78,78,"iot_platform","iot_platform",243,243,s2,s2,"Jun 30, 2023 @ 17:44:00.826",0
"31_78_243+0+6742","31_78_243","-","_doc",78,78,"iot_platform","iot_platform",243,243,s2,s2,"Jun 30, 2023 @ 17:39:00.826",0
"31_78_243+0+6741","31_78_243","-","_doc",78,78,"iot_platform","iot_platform",243,243,s2,s2,"Jun 30, 2023 @ 17:34:00.826",0
"31_78_243+0+6740","31_78_243","-","_doc",78,78,"iot_platform","iot_platform",243,243,s2,s2,"Jun 30, 2023 @ 17:29:00.833",0
"31_78_243+0+6739","31_78_243","-","_doc",78,78,"iot_platform","iot_platform",243,243,s2,s2,"Jun 30, 2023 @ 17:24:00.833",0
"31_78_243+0+6738","31_78_243","-","_doc",78,78,"iot_platform","iot_platform",243,243,s2,s2,"Jun 30, 2023 @ 17:19:00.828",0
"31_78_243+0+6737","31_78_243","-","_doc",78,78,"iot_platform","iot_platform",243,243,s2,s2,"Jun 30, 2023 @ 17:14:00.823",0
"31_78_243+0+6736","31_78_243","-","_doc",78,78,"iot_platform","iot_platform",243,243,s2,s2,"Jun 30, 2023 @ 17:09:00.823",0
"31_78_243+0+6735","31_78_243","-","_doc",78,78,"iot_platform","iot_platform",243,243,s2,s2,"Jun 30, 2023 @ 17:04:00.823",0
"31_78_243+0+6734","31_78_243","-","_doc",78,78,"iot_platform","iot_platform",243,243,s2,s2,"Jun 30, 2023 @ 16:59:00.823",0
"31_78_243+0+6733","31_78_243","-","_doc",78,78,"iot_platform","iot_platform",243,243,s2,s2,"Jun 30, 2023 @ 16:54:00.823",0
"31_78_243+0+6732","31_78_243","-","_doc",78,78,"iot_platform","iot_platform",243,243,s2,s2,"Jun 30, 2023 @ 16:49:00.823",0
"31_78_243+0+6731","31_78_243","-","_doc",78,78,"iot_platform","iot_platform",243,243,s2,s2,"Jun 30, 2023 @ 16:44:00.818",0
"31_78_243+0+6730","31_78_243","-","_doc",78,78,"iot_platform","iot_platform",243,243,s2,s2,"Jun 30, 2023 @ 16:39:00.803",0
"31_78_243+0+6729","31_78_243","-","_doc",78,78,"iot_platform","iot_platform",243,243,s2,s2,"Jun 30, 2023 @ 16:34:00.803",0
"31_78_243+0+6728","31_78_243","-","_doc",78,78,"iot_platform","iot_platform",243,243,s2,s2,"Jun 30, 2023 @ 16:29:00.806",0
"31_78_243+0+6727","31_78_243","-","_doc",78,78,"iot_platform","iot_platform",243,243,s2,s2,"Jun 30, 2023 @ 16:24:00.806",0
"31_78_243+0+6726","31_78_243","-","_doc",78,78,"iot_platform","iot_platform",243,243,s2,s2,"Jun 30, 2023 @ 16:19:00.806",0
"31_78_243+0+6725","31_78_243","-","_doc",78,78,"iot_platform","iot_platform",243,243,s2,s2,"Jun 30, 2023 @ 16:14:00.806",0
"31_78_243+0+6724","31_78_243","-","_doc",78,78,"iot_platform","iot_platform",243,243,s2,s2,"Jun 30, 2023 @ 16:09:00.806",0
"31_78_243+0+6723","31_78_243","-","_doc",78,78,"iot_platform","iot_platform",243,243,s2,s2,"Jun 30, 2023 @ 16:04:00.806",0
"31_78_243+0+6722","31_78_243","-","_doc",78,78,"iot_platform","iot_platform",243,243,s2,s2,"Jun 30, 2023 @ 15:59:00.806",0
"31_78_243+0+6721","31_78_243","-","_doc",78,78,"iot_platform","iot_platform",243,243,s2,s2,"Jun 30, 2023 @ 15:54:00.806",0
"31_78_243+0+6720","31_78_243","-","_doc",78,78,"iot_platform","iot_platform",243,243,s2,s2,"Jun 30, 2023 @ 15:49:00.806",0
"31_78_243+0+6719","31_78_243","-","_doc",78,78,"iot_platform","iot_platform",243,243,s2,s2,"Jun 30, 2023 @ 15:44:00.806",0
"31_78_243+0+6718","31_78_243","-","_doc",78,78,"iot_platform","iot_platform",243,243,s2,s2,"Jun 30, 2023 @ 15:39:00.801",0
"31_78_243+0+6717","31_78_243","-","_doc",78,78,"iot_platform","iot_platform",243,243,s2,s2,"Jun 30, 2023 @ 15:34:00.796",0
"31_78_243+0+6716","31_78_243","-","_doc",78,78,"iot_platform","iot_platform",243,243,s2,s2,"Jun 30, 2023 @ 15:29:00.794",0
"31_78_243+0+6715","31_78_243","-","_doc",78,78,"iot_platform","iot_platform",243,243,s2,s2,"Jun 30, 2023 @ 15:24:00.794",0
"31_78_243+0+6714","31_78_243","-","_doc",78,78,"iot_platform","iot_platform",243,243,s2,s2,"Jun 30, 2023 @ 15:19:00.794",0
"31_78_243+0+6713","31_78_243","-","_doc",78,78,"iot_platform","iot_platform",243,243,s2,s2,"Jun 30, 2023 @ 15:14:00.794",0
"31_78_243+0+6712","31_78_243","-","_doc",78,78,"iot_platform","iot_platform",243,243,s2,s2,"Jun 30, 2023 @ 15:09:00.794",0
