"_id","_index","_score","_type","device_id","device_id.keyword","mqtt_gateway","mqtt_gateway.keyword","sensor_id","sensor_id.keyword","sensor_name","sensor_name.keyword",timestamp,"value.count","value.heap"
"7_89_234+0+4300","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 16:30:00.420",0,"198,636"
"7_89_234+0+4301","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 16:30:00.420",0,"198,636"
"7_89_234+0+4298","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 16:25:00.410",0,"198,632"
"7_89_234+0+4299","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 16:25:00.410",0,"198,632"
"7_89_234+0+4296","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 16:20:00.400",0,"198,636"
"7_89_234+0+4297","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 16:20:00.400",0,"198,636"
"7_89_234+0+4294","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 16:15:00.390",0,"198,636"
"7_89_234+0+4295","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 16:15:00.390",0,"198,636"
"7_89_234+0+4292","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 16:10:00.380",0,"198,636"
"7_89_234+0+4293","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 16:10:00.380",0,"198,636"
"7_89_234+0+4290","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 16:05:00.370",0,"198,636"
"7_89_234+0+4291","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 16:05:00.370",0,"198,636"
"7_89_234+0+4288","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 16:00:00.360",0,"198,620"
"7_89_234+0+4289","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 16:00:00.360",0,"198,620"
"7_89_234+0+4286","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 15:55:00.350",0,"198,620"
"7_89_234+0+4287","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 15:55:00.350",0,"198,620"
"7_89_234+0+4284","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 15:50:00.340",0,"198,624"
"7_89_234+0+4285","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 15:50:00.340",0,"198,624"
"7_89_234+0+4282","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 15:45:00.330",0,"198,624"
"7_89_234+0+4283","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 15:45:00.330",0,"198,624"
"7_89_234+0+4280","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 15:40:00.320",0,"198,636"
"7_89_234+0+4281","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 15:40:00.320",0,"198,636"
"7_89_234+0+4278","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 15:35:00.310",0,"198,636"
"7_89_234+0+4279","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 15:35:00.310",0,"198,636"
"7_89_234+0+4276","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 15:30:00.300",0,"198,636"
"7_89_234+0+4277","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 15:30:00.300",0,"198,636"
"7_89_234+0+4274","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 15:25:00.290",1,"198,632"
"7_89_234+0+4275","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 15:25:00.290",1,"198,632"
"7_89_234+0+4272","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 15:20:00.280",1,"198,636"
"7_89_234+0+4273","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 15:20:00.280",1,"198,636"
"7_89_234+0+4270","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 15:15:00.270",1,"198,636"
"7_89_234+0+4271","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 15:15:00.270",1,"198,636"
"7_89_234+0+4268","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 15:10:00.260",1,"198,636"
