"_id","_index","_score","_type","device_id","device_id.keyword","mqtt_gateway","mqtt_gateway.keyword","sensor_id","sensor_id.keyword","sensor_name","sensor_name.keyword",timestamp,"value.count","value.height"
"37_84_226+0+10783","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 14:54:59.987",0,0
"37_84_226+0+10782","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 14:49:59.987",0,0
"37_84_226+0+10781","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 14:44:59.988",0,0
"37_84_226+0+10780","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 14:39:59.987",0,0
"37_84_226+0+10779","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 14:34:59.987",0,0
"37_84_226+0+10778","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 13:24:59.986",0,0
"37_84_226+0+10777","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 13:04:59.994",0,0
"37_84_226+0+10776","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 12:49:59.999",41,0
"37_84_226+0+10775","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 12:44:59.999",41,0
"37_84_226+0+10774","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 12:39:59.999",41,0
"37_84_226+0+10773","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 12:34:59.999",41,0
"37_84_226+0+10772","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 12:29:59.999",41,0
"37_84_226+0+10771","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 12:24:59.999",41,0
"37_84_226+0+10770","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 12:19:59.999",41,0
"37_84_226+0+10769","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 12:14:59.999",41,0
"37_84_226+0+10768","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 12:09:59.999",0,0
"37_84_226+0+10767","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 12:04:59.988",0,0
"37_84_226+0+10766","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 11:59:59.987",0,0
"37_84_226+0+10765","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 11:54:59.987",0,0
"37_84_226+0+10764","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 11:49:59.987",0,0
"37_84_226+0+10763","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 11:44:59.987",0,0
"37_84_226+0+10762","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 11:39:59.987",0,0
