Datetime,reference,group1,group2,group4,group8,group9,group10,group11,group13,group15
2023-06-26 07:55:00.000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-26 08:00:00.000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-26 08:05:00.000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-26 08:10:00.000,0,0.0,27.0,13.5,13.535714285714286,5.0,22.166666666666668,0.0,13.5,0.0
2023-06-26 08:15:00.000,27,0.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
2023-06-26 08:20:00.000,27,0.0,,27.0,27.0,27.0,27.0,27.0,27.0,27.0
2023-06-26 08:25:00.000,27,0.0,0.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
2023-06-26 08:30:00.000,27,0.0,0.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
2023-06-26 08:35:00.000,27,0.0,,27.0,27.0,27.0,27.0,27.0,27.0,27.0
2023-06-26 08:40:00.000,27,0.0,,27.0,27.0,27.0,27.0,27.0,27.0,27.0
2023-06-26 08:45:00.000,27,0.0,0.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
2023-06-26 08:50:00.000,27,0.0,0.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
2023-06-26 08:55:00.000,27,0.0,0.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
2023-06-26 09:00:00.000,0,26.0,0.0,13.5,13.464285714285714,21.0,14.52,27.0,13.5,27.0
2023-06-26 09:05:00.000,0,26.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
2023-06-26 09:10:00.000,0,5.0,0.0,11.0,11.08695652173913,7.0,30.316666666666666,0.0,11.0,0.0
2023-06-26 09:15:00.000,22,5.0,,22.0,22.0,22.0,34.0,22.0,22.0,22.0
2023-06-26 09:20:00.000,22,5.0,,22.0,22.0,22.0,34.0,22.0,22.0,22.0
2023-06-26 09:25:00.000,22,5.0,,22.0,22.0,22.0,34.0,22.0,22.0,22.0
2023-06-26 09:30:00.000,22,5.0,0.0,22.0,22.0,22.0,34.0,22.0,22.0,22.0
2023-06-26 09:35:00.000,22,4.0,0.0,22.0,22.0,22.0,34.0,22.0,22.0,22.0
2023-06-26 09:40:00.000,22,4.0,0.0,22.0,22.0,22.0,34.0,22.0,22.0,22.0
2023-06-26 09:45:00.000,22,4.0,0.0,22.0,22.0,22.0,34.0,22.0,22.0,22.0
2023-06-26 09:50:00.000,22,4.0,0.0,22.0,22.0,22.0,34.0,22.0,22.0,22.0
2023-06-26 09:55:00.000,22,4.0,0.0,22.0,22.0,22.0,34.0,22.0,22.0,22.0
2023-06-26 10:00:00.000,0,0.0,0.0,11.0,10.608695652173912,9.0,13.783333333333333,22.0,11.0,22.0
2023-06-26 10:05:00.000,0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
2023-06-26 10:10:00.000,0,31.0,2.0,15.5,15.5625,7.0,35.05,0.0,15.5,0.0
2023-06-26 10:15:00.000,31,31.0,31.0,31.0,31.0,31.0,43.0,31.0,31.0,31.0
2023-06-26 10:20:00.000,31,31.0,31.0,31.0,31.0,31.0,43.0,31.0,31.0,31.0
2023-06-26 10:25:00.000,31,31.0,31.0,31.0,31.0,31.0,43.0,31.0,31.0,31.0
2023-06-26 10:30:00.000,31,31.0,31.0,31.0,31.0,31.0,43.0,31.0,31.0,31.0
2023-06-26 10:35:00.000,31,31.0,31.0,31.0,31.0,31.0,43.0,31.0,31.0,31.0
2023-06-26 10:40:00.000,31,31.0,31.0,31.0,31.0,31.0,43.0,31.0,31.0,31.0
2023-06-26 10:45:00.000,31,31.0,31.0,31.0,,31.0,43.0,31.0,31.0,31.0
2023-06-26 10:50:00.000,31,31.0,31.0,31.0,,31.0,43.0,31.0,31.0,31.0
2023-06-26 10:55:00.000,31,31.0,31.0,31.0,,31.0,43.0,31.0,31.0,31.0
2023-06-26 11:00:00.000,31,31.0,31.0,31.0,,31.0,43.0,31.0,31.0,31.0
2023-06-26 11:05:00.000,31,31.0,31.0,31.0,,31.0,43.0,31.0,31.0,31.0
2023-06-26 11:10:00.000,31,31.0,31.0,31.0,,31.0,43.0,31.0,31.0,31.0
2023-06-26 11:15:00.000,31,31.0,31.0,,,31.0,43.0,31.0,31.0,31.0
2023-06-26 11:20:00.000,31,31.0,31.0,31.0,,31.0,43.0,31.0,31.0,31.0
2023-06-26 11:25:00.000,31,31.0,31.0,31.0,,31.0,43.0,31.0,31.0,31.0
2023-06-26 11:30:00.000,31,31.0,31.0,,,31.0,43.0,31.0,31.0,31.0
2023-06-26 11:35:00.000,31,31.0,31.0,31.0,,31.0,43.0,31.0,31.0,31.0
2023-06-26 11:40:00.000,31,31.0,31.0,31.0,,31.0,43.0,31.0,31.0,31.0
2023-06-26 11:45:00.000,31,31.0,31.0,31.0,,31.0,43.0,31.0,31.0,31.0
2023-06-26 11:50:00.000,31,31.0,31.0,31.0,31.0,31.0,43.0,31.0,31.0,31.0
2023-06-26 11:55:00.000,31,31.0,31.0,31.0,29.76,31.0,43.0,31.0,31.0,31.0
2023-06-26 12:00:00.000,0,0.0,29.0,31.0,32.0,23.0,17.666666666666668,31.0,15.5,31.0
2023-06-26 12:05:00.000,0,0.0,0.0,0.0,,0.0,12.0,0.0,0.0,0.0
2023-06-26 12:10:00.000,0,32.0,2.0,0.0,,5.0,35.733333333333334,0.0,20.666666666666668,0.0
2023-06-26 12:15:00.000,32,32.0,32.0,32.0,,32.0,44.0,32.0,31.0,32.0
2023-06-26 12:20:00.000,32,32.0,32.0,32.0,,32.0,44.0,32.0,31.0,32.0
2023-06-26 12:25:00.000,32,32.0,32.0,32.0,,32.0,44.0,32.0,31.0,32.0
2023-06-26 12:30:00.000,32,32.0,32.0,32.0,,32.0,44.0,32.0,31.0,32.0
2023-06-26 12:35:00.000,32,32.0,32.0,32.0,,32.0,44.0,32.0,31.0,32.0
2023-06-26 12:40:00.000,32,32.0,32.0,32.0,,32.0,44.0,32.0,31.0,32.0
2023-06-26 12:45:00.000,32,32.0,32.0,32.0,,32.0,44.0,32.0,31.0,32.0
2023-06-26 12:50:00.000,32,32.0,32.0,32.0,,32.0,44.0,32.0,31.0,32.0
2023-06-26 12:55:00.000,32,32.0,32.0,32.0,,32.0,44.0,32.0,31.0,32.0
2023-06-26 13:00:00.000,32,32.0,32.0,32.0,,32.0,44.0,32.0,31.0,32.0
2023-06-26 13:05:00.000,32,32.0,32.0,32.0,,32.0,44.0,32.0,31.0,32.0
2023-06-26 13:10:00.000,32,32.0,32.0,32.0,,32.0,44.0,32.0,31.0,32.0
2023-06-26 13:15:00.000,32,32.0,32.0,32.0,,32.0,44.0,32.0,31.0,32.0
2023-06-26 13:20:00.000,32,32.0,32.0,32.0,,32.0,44.0,32.0,31.0,32.0
2023-06-26 13:25:00.000,32,32.0,32.0,32.0,,32.0,44.0,32.0,31.0,32.0
2023-06-26 13:30:00.000,32,32.0,32.0,32.0,,32.0,44.0,32.0,31.0,32.0
2023-06-26 13:35:00.000,32,32.0,32.0,32.0,,32.0,44.0,32.0,31.0,32.0
2023-06-26 13:40:00.000,32,32.0,32.0,32.0,,32.0,44.0,32.0,31.0,32.0
2023-06-26 13:45:00.000,32,32.0,32.0,32.0,,32.0,44.0,32.0,31.0,32.0
2023-06-26 13:50:00.000,32,32.0,32.0,32.0,,32.0,44.0,32.0,31.0,32.0
2023-06-26 13:55:00.000,32,32.0,32.0,32.0,,32.0,44.0,32.0,31.0,32.0
2023-06-26 14:00:00.000,0,0.0,27.0,16.0,,24.0,16.716666666666665,32.0,15.5,32.0
2023-06-26 14:05:00.000,0,0.0,0.0,0.0,,0.0,12.0,0.0,0.0,0.0
2023-06-26 14:10:00.000,0,16.0,1.0,8.0,,7.0,26.366666666666667,0.0,8.0,0.0
2023-06-26 14:15:00.000,16,16.0,16.0,16.0,,16.0,28.0,16.0,16.0,16.0
2023-06-26 14:20:00.000,16,16.0,16.0,16.0,,16.0,28.0,16.0,16.0,16.0
2023-06-26 14:25:00.000,16,16.0,16.0,16.0,,16.0,28.0,16.0,16.0,16.0
2023-06-26 14:30:00.000,16,16.0,16.0,16.0,,16.0,28.0,16.0,16.0,16.0
2023-06-26 14:35:00.000,16,16.0,16.0,16.0,,16.0,28.0,16.0,16.0,16.0
2023-06-26 14:40:00.000,16,16.0,16.0,16.0,,16.0,28.0,16.0,16.0,16.0
2023-06-26 14:45:00.000,16,16.0,16.0,16.0,,16.0,28.0,16.0,16.0,16.0
2023-06-26 14:50:00.000,16,16.0,16.0,16.0,,16.0,28.0,16.0,16.0,16.0
2023-06-26 14:55:00.000,16,16.0,16.0,16.0,,16.0,28.0,16.0,16.0,16.0
2023-06-26 15:00:00.000,16,16.0,16.0,16.0,,16.0,28.0,16.0,16.0,16.0
2023-06-26 15:05:00.000,16,16.0,16.0,16.0,,16.0,28.0,16.0,16.0,16.0
2023-06-26 15:10:00.000,16,16.0,16.0,16.0,,16.0,28.0,16.0,16.0,16.0
2023-06-26 15:15:00.000,16,16.0,16.0,16.0,,16.0,28.0,16.0,16.0,16.0
2023-06-26 15:20:00.000,16,16.0,16.0,16.0,,16.0,28.0,16.0,16.0,16.0
2023-06-26 15:25:00.000,16,16.0,16.0,16.0,,16.0,28.0,16.0,16.0,16.0
2023-06-26 15:30:00.000,16,16.0,16.0,16.0,,16.0,28.0,16.0,16.0,16.0
2023-06-26 15:35:00.000,16,16.0,16.0,16.0,,16.0,28.0,16.0,16.0,16.0
2023-06-26 15:40:00.000,16,16.0,16.0,16.0,,16.0,28.0,16.0,16.0,16.0
2023-06-26 15:45:00.000,16,16.0,16.0,16.0,,16.0,28.0,16.0,16.0,16.0
2023-06-26 15:50:00.000,16,16.0,16.0,16.0,,16.0,28.0,16.0,16.0,16.0
2023-06-26 15:55:00.000,16,20.833333333333332,20.083333333333332,20.46153846153846,44.0,19.75,32.62256267409471,20.0,20.46153846153846,20.0
2023-06-26 16:55:00.000,26,26.0,26.0,26.0,,26.0,38.0,26.0,26.0,26.0
2023-06-26 17:00:00.000,26,26.0,26.0,26.0,,26.0,38.0,26.0,26.0,26.0
2023-06-26 17:05:00.000,26,26.0,26.0,26.0,,26.0,38.0,13.0,26.0,26.0
2023-06-26 17:10:00.000,26,26.0,26.0,26.0,,26.0,38.0,0.0,26.0,26.0
2023-06-26 17:15:00.000,26,26.0,26.0,26.0,,26.0,38.0,0.0,26.0,26.0
2023-06-26 17:20:00.000,26,26.0,26.0,26.0,,26.0,38.0,0.0,26.0,26.0
2023-06-26 17:25:00.000,26,26.0,26.0,26.0,,26.0,38.0,0.0,26.0,26.0
2023-06-26 17:30:00.000,26,26.0,26.0,26.0,,26.0,38.0,0.0,26.0,26.0
2023-06-26 17:35:00.000,26,26.0,26.0,26.0,,26.0,38.0,0.0,26.0,26.0
2023-06-26 17:40:00.000,26,,26.0,26.0,,26.0,37.36666666666667,0.0,26.0,26.0
